SampleDepth;cN;cC;C.N.ratio;North;East
10;0.04;1.22;30.5;7137782.125;733329.956
10;0.1;2.43;24.3;7137775.302;734368.856
10;0.03;1.01;33.7;7137784.195;734728.978
10;0.05;1.68;33.6;7137431.322;730528.552
10;0.06;1.78;29.7;7137432.667;731924.401
10;0.05;1.45;29;7137432.873;732993.875
10;0.05;1.18;23.6;7137434.02;733312.608
10;0.11;3.1;28.2;7137431.299;734378.933
10;0.03;0.75;25;7137082.887;729481.273
10;0.05;1.5;30;7137080.836;730877.995
10;0.05;1.65;33;7137084.182;731227.894
10;0.04;0.71;17.8;7137084;731576.984
10;0.05;1.48;29.6;7137088.151;731936.199
10;0.04;1.13;28.3;7137081.485;732280.286
10;0.05;1.48;29.6;7137080.573;733679.129
10;0.05;1.45;29;7137088.87;734029.077
10;0.04;1.69;42.3;7137082.223;734378.245
10;0.03;0.71;23.7;7137078.664;734729.592
10;0.02;0.57;28.5;7136730.795;729481.169
10;0.04;1.36;34;7136738.183;729829.802
10;0.08;2.42;30.3;7136740.304;731224.918
10;0.06;1.48;24.7;7136734.163;731583.743
10;0.07;2.81;40.1;7136732.22;731931.267
10;0.04;0.98;24.5;7136738.105;732276.898
10;0.08;1.57;19.6;7136730.445;732630.881
10;0.04;0.72;18;7136729.434;734032.089
10;0.07;1.89;27;7136733.117;734380.683
10;0.06;1.62;27;7136732.369;734733.644
10;0.04;0.98;24.5;7136727.643;735081.911
10;0.03;0.82;27.3;7136377.567;729479.418
10;0.1;3.52;35.2;7136380.792;730174.837
10;0.04;0.98;24.5;7136385.629;730524.506
10;0.05;1.79;35.8;7136380.787;733326.858
10;0.09;2;22.2;7136380.949;734734.5
10;0.08;2.36;29.5;7136030.51;727381.114
10;0.05;1.66;33.2;7136035.836;727725.403
10;0.07;1.63;23.3;7136034.844;729480.076
10;0.13;3.69;28.4;7136029.111;730178.979
10;0.04;0.86;21.5;7136036.643;730530.59
10;0.06;2.21;36.8;7136034.155;731576.608
10;0.15;4.83;32.2;7136021.577;731926.315
10;0.03;0.76;25.3;7136034.896;732980.404
10;0.04;1.49;37.3;7136031.537;733331.059
10;0.09;2.72;30.2;7135682.16;729478.274
10;0.04;1.3;32.5;7135682.235;729830.516
10;0.05;1.35;27;7135683.977;731237.042
10;0.04;1.1;27.5;7135683.262;731581.976
10;0.15;4.59;30.6;7135685.066;731933.321
10;0.05;1.26;25.2;7135685.023;732282.698
10;0.03;1.01;33.7;7135682.996;732633.623
10;0.05;1.72;34.4;7135677.187;733680.288
10;0.03;0.66;22;7135683.327;734030.498
10;0.06;2.34;39;7135334.096;729478.407
10;0.08;3.11;38.9;7135333.048;731229.105
10;0.05;1.7;34;7135328.591;731578.738
10;0.24;8.6;35.8;7135334.914;731927.126
10;0.04;1.49;37.3;7135338.588;732280.594
10;0.06;1.1;18.3;7135328.897;732635.371
10;0.07;2.26;32.3;7135328.08;733680.821
10;0.05;1.12;22.4;7135330.577;734025.028
10;0.08;1.89;23.6;7135331.985;735082.318
